n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
304,4.78144e+006,663631,3.509e+006,4.43525e+006,4.7685e+006,5.354e+006,6.018e+006
306,4.99056e+006,519990,4.028e+006,4.51375e+006,5.003e+006,5.178e+006,6.513e+006
308,4.97753e+006,503721,3.998e+006,4.51475e+006,5.0055e+006,5.508e+006,6.001e+006
310,5.12106e+006,625539,3.507e+006,4.90325e+006,5.0225e+006,5.51525e+006,6.082e+006
312,5.09494e+006,603285,3.511e+006,4.51375e+006,5.029e+006,5.513e+006,6.511e+006
314,5.20406e+006,450977,4.506e+006,5.00025e+006,5.027e+006,5.5125e+006,6.531e+006
316,5.08312e+006,582644,3.512e+006,5.0005e+006,5.02e+006,5.50825e+006,6.456e+006
318,5.36388e+006,446802,4.44e+006,5.00575e+006,5.498e+006,5.51325e+006,6.517e+006
320,5.43225e+006,632737,4.004e+006,5.005e+006,5.509e+006,6.014e+006,6.513e+006
322,5.80853e+006,874214,4.506e+006,5.495e+006,5.515e+006,6.0195e+006,8.029e+006
324,5.32538e+006,576772,3.973e+006,5.0055e+006,5.508e+006,5.53225e+006,6.509e+006
326,5.63688e+006,799217,4.509e+006,5.125e+006,5.509e+006,6.0235e+006,8.025e+006
328,5.57466e+006,511604,4.998e+006,5.0765e+006,5.51e+006,5.71375e+006,6.984e+006
330,5.56162e+006,643280,3.998e+006,5.36575e+006,5.514e+006,6.01325e+006,6.518e+006
332,5.77581e+006,465242,4.996e+006,5.50675e+006,5.5265e+006,6.02725e+006,6.53e+006
334,5.56212e+006,611918,3.997e+006,5.10725e+006,5.5075e+006,6.007e+006,6.525e+006
336,5.8455e+006,476608,4.999e+006,5.50775e+006,6.001e+006,6.0215e+006,6.842e+006
338,5.78391e+006,497886,4.989e+006,5.505e+006,5.5155e+006,6.304e+006,6.515e+006
340,5.68078e+006,413368,4.999e+006,5.50675e+006,5.513e+006,6.00525e+006,6.509e+006
342,5.951e+006,612138,5.004e+006,5.509e+006,6.0045e+006,6.50825e+006,7.514e+006
344,6.13266e+006,637594,5.006e+006,5.50875e+006,6.2625e+006,6.511e+006,8.045e+006
346,6.07281e+006,600752,4.999e+006,5.8895e+006,6.0405e+006,6.5075e+006,7.523e+006
348,6.15941e+006,533147,5.028e+006,6.02225e+006,6.0395e+006,6.52925e+006,7.21e+006
350,6.00006e+006,585350,5.012e+006,5.51975e+006,6.0335e+006,6.522e+006,7.53e+006
352,6.14909e+006,580877,5.001e+006,5.9555e+006,6.0245e+006,6.51175e+006,7.507e+006
354,6.38009e+006,623870,5.504e+006,5.985e+006,6.5075e+006,6.8835e+006,8.041e+006
356,6.52406e+006,494187,5.514e+006,6.018e+006,6.508e+006,6.9885e+006,7.536e+006
358,6.36478e+006,527903,5e+006,6.0415e+006,6.5015e+006,6.51375e+006,7.517e+006
360,6.57447e+006,554576,5.506e+006,6.07825e+006,6.5105e+006,7.01425e+006,8.011e+006
362,6.76891e+006,503170,6.012e+006,6.507e+006,6.5165e+006,7.0265e+006,8.013e+006
364,6.75634e+006,585114,5.503e+006,6.5075e+006,6.976e+006,7.026e+006,8.032e+006
366,6.71869e+006,458192,6.014e+006,6.508e+006,6.5105e+006,7.01625e+006,8.014e+006
368,6.83488e+006,553941,5.508e+006,6.5095e+006,7.013e+006,7.11425e+006,7.518e+006
370,6.82738e+006,516820,6.001e+006,6.50975e+006,6.9995e+006,7.03125e+006,7.786e+006
372,6.96394e+006,506985,6.001e+006,6.622e+006,7.017e+006,7.1325e+006,8.018e+006
374,7.48819e+006,745018,6.217e+006,7.01125e+006,7.5065e+006,8.017e+006,9.52e+006
376,7.39359e+006,877150,6.49e+006,6.97875e+006,7.329e+006,7.52e+006,1.1029e+007
378,7.50294e+006,917921,6.001e+006,6.9975e+006,7.5105e+006,7.66225e+006,1.1032e+007
380,7.18191e+006,511366,6.506e+006,6.91875e+006,7.043e+006,7.51575e+006,8.272e+006
382,7.11184e+006,588304,5.506e+006,6.8835e+006,7.032e+006,7.511e+006,8.018e+006
384,7.35219e+006,547736,6.508e+006,7.009e+006,7.4715e+006,7.51725e+006,9.02e+006
386,7.44581e+006,502994,6.51e+006,7.04425e+006,7.512e+006,8.003e+006,8.163e+006
388,7.49319e+006,529087,6.506e+006,7.03775e+006,7.513e+006,7.609e+006,8.552e+006
390,7.71212e+006,587796,6.51e+006,7.48625e+006,7.591e+006,8.039e+006,9.238e+006
392,7.75128e+006,561242,6.507e+006,7.50975e+006,7.746e+006,8.01675e+006,9.036e+006
