n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
356,136565,14804.6,110838,127361,135828,147682,174775
358,137845,16235.8,110633,127489,135981,145936,182163
360,134961,20200.6,106630,122460,131723,141523,198379
362,140196,22731.4,108785,124616,133929,149015,218596
364,136674,23741.9,104064,119843,129978,147425,209771
366,134108,13728.4,114943,122768,133005,141369,178264
368,141623,18588.4,112890,129824,138290,149759,185858
370,143114,45334,110940,123410,133262,149528,373153
372,139172,21005.6,105091,123512,130850,154762,184524
374,143653,30686.8,116174,126488,136033,151170,278839
376,140612,16949.8,117611,131466,134237,144346,202176
378,137518,18812.7,110427,123616,133160,150785,184524
380,157681,42014.4,109914,129464,142498,170490,284483
382,142922,20517.1,110838,132492,136905,150246,210900
384,147482,25248.8,111146,132441,144551,156790,233170
386,142498,16271.1,113608,133749,143370,148886,189655
388,138743,12592.4,119355,130748,135674,143935,174878
390,142341,16896,117919,133390,138958,149734,205460
392,150773,24930.5,119356,134339,144550,159791,243945
394,149685,19083.8,115662,137700,145167,164794,194377
396,151254,25070.6,109812,138958,147886,161048,241791
398,161077,26737.1,117406,141600,152402,173543,225575
400,158492,19234.3,129002,146808,153480,165769,205358
402,164964,30756.1,123564,148964,157892,173979,245690
404,158329,31836.3,130234,139650,150914,167616,270526
406,159335,29537.1,128387,143756,150760,166179,275144
408,167065,25048.6,132184,150760,160612,172928,231527
410,154890,14844.1,130747,146449,151632,162203,191092
412,165977,26602,138752,148220,158303,172286,249282
414,170288,22734.7,133929,152351,165384,186884,217057
416,168646,27694.9,132595,152274,159432,176365,240559
418,178010,38045.2,136495,149836,166102,189066,278428
420,196445,36241.3,144499,164820,192786,222702,303572
422,171429,22693.5,138342,155609,166924,177289,231732
424,171917,21600.1,137008,157533,170105,184780,224139
426,181930,38950.1,139984,158278,165948,191862,277402
428,169416,17465.6,140395,155916,164563,183267,211618
430,176202,25822.5,145321,153839,168463,190630,244767
432,203048,35147.2,151786,170695,208847,218596,316914
434,181779,32162.7,148296,161664,171798,196916,281507
436,176481,15576.4,155378,165462,172466,182908,215415
438,174361,19374.4,144192,162562,169336,184088,237993
440,182138,19382.1,149323,166744,177700,193582,234606
442,198405,37624.3,148296,176108,183652,213311,305214
444,186323,25591.4,150759,167744,181188,200560,266934
446,184284,18912.1,154249,169130,181650,198661,233374
448,186038,19269.5,154762,174364,183292,192555,258621
450,186747,24383.1,151581,168104,182522,206153,260058
452,188642,21684.3,161843,173954,180932,200149,248666
454,188905,26175.9,153120,172568,180573,197173,264265
456,188703,20174.8,150965,177520,185499,199687,237993
458,202667,32905.7,165230,179649,191400,212336,295670
460,198048,29739.6,161638,180650,190630,201791,312398
462,189418,14451.3,167899,179470,185962,196121,224343
464,196615,19799.6,161741,182934,192324,209976,252361
466,201887,26343.9,151991,183190,200226,219084,250719
468,209174,37836.4,162562,183011,200636,214466,317632
470,199399,18145.8,168001,185653,197147,210207,242919
472,202798,23922.4,169643,186731,197096,212721,276479
474,202336,27505.9,167180,182138,195710,212079,270731
476,207118,25353.5,170773,188193,199713,220110,263958
478,206365,21006.6,172517,192247,203921,212208,286741
480,211457,25843.3,175595,192401,210078,222830,285100
482,226563,46790.2,173543,194505,209104,244997,358478
484,221175,31861.9,189655,200098,214543,232862,313732
486,275321,240965,181240,201278,226858,257416,1.57749e+06
488,224613,33972.4,182061,203536,216031,237223,339492
490,208000,24576.4,172414,191913,202536,219674,266113
492,225732,43775.4,182471,203357,211566,227448,362583
494,220684,20544.3,186474,205691,218596,231604,259032
496,222599,25305.2,191913,205793,212798,233503,302135
498,247608,47478.2,185140,210668,233631,277274,380029
500,226929,27593.5,186063,207898,219418,245998,289307
502,223561,20848.6,187809,212131,222138,232169,271860
504,221249,17643.4,195505,209514,219880,232631,274015
506,226005,30675.5,189451,206563,217108,231810,323277
508,244385,36190.7,190169,223805,239379,254440,338876
510,234863,26678.4,194582,218006,229886,242816,326047
512,250953,43587.3,199406,224267,238044,262778,389882
