n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
316,5.08566e+006,656535,4.013e+006,4.512e+006,5.006e+006,5.51e+006,7.509e+006
318,5.57866e+006,581813,4.5e+006,5.2285e+006,5.509e+006,6.00225e+006,7.005e+006
320,5.10197e+006,515080,4.483e+006,4.51175e+006,5.0095e+006,5.508e+006,6.151e+006
322,5.42359e+006,576765,4.503e+006,5e+006,5.5065e+006,6.00025e+006,6.513e+006
324,5.43e+006,540688,4.39e+006,5.007e+006,5.5105e+006,5.544e+006,6.51e+006
326,5.20622e+006,516080,4.505e+006,4.99875e+006,5.0135e+006,5.51125e+006,6.019e+006
328,5.54906e+006,596020,4.001e+006,5.26025e+006,5.509e+006,6.01475e+006,6.509e+006
330,5.64922e+006,471888,4.509e+006,5.50675e+006,5.51e+006,6.0005e+006,6.728e+006
332,5.55438e+006,545246,4.506e+006,5.48425e+006,5.507e+006,5.95575e+006,6.514e+006
334,5.54359e+006,512986,4.506e+006,5.5035e+006,5.509e+006,5.51675e+006,6.545e+006
336,5.74362e+006,535585,4.509e+006,5.50475e+006,5.5115e+006,6.163e+006,6.524e+006
338,5.81444e+006,562665,5.003e+006,5.50775e+006,5.5175e+006,6.4415e+006,7.003e+006
340,6.24109e+006,1.19367e+006,4.505e+006,5.50675e+006,6.009e+006,6.5225e+006,9.506e+006
342,5.75591e+006,487936,4.988e+006,5.50375e+006,5.5155e+006,6.00825e+006,6.511e+006
344,5.92906e+006,625619,5.003e+006,5.5035e+006,6.005e+006,6.51025e+006,7.001e+006
346,6.10047e+006,628251,5e+006,5.5135e+006,6.0055e+006,6.5125e+006,7.021e+006
348,6.07278e+006,489818,5.491e+006,5.50775e+006,6.0235e+006,6.5075e+006,7.067e+006
350,6.08006e+006,511916,4.532e+006,6.00275e+006,6.0165e+006,6.158e+006,7.127e+006
352,6.54738e+006,1.07425e+006,5.494e+006,5.7975e+006,6.3245e+006,7.02325e+006,1.0026e+007
354,6.30062e+006,638615,5.003e+006,5.54275e+006,6.51e+006,6.88575e+006,7.412e+006
356,6.15247e+006,621975,5e+006,5.5305e+006,6.1145e+006,6.51425e+006,8.046e+006
358,6.37391e+006,524962,5.508e+006,6.01475e+006,6.4885e+006,6.51625e+006,7.569e+006
360,6.47656e+006,707362,5.371e+006,6.15925e+006,6.51e+006,6.89075e+006,8.022e+006
362,6.40531e+006,664172,5.347e+006,5.86375e+006,6.5105e+006,6.89425e+006,8.017e+006
364,6.69844e+006,642190,5.505e+006,6.5035e+006,6.51e+006,7.021e+006,8.512e+006
366,6.78538e+006,524315,5.502e+006,6.50975e+006,7.0015e+006,7.0165e+006,8.015e+006
368,6.73725e+006,535371,5.504e+006,6.50475e+006,6.511e+006,7.063e+006,8.024e+006
370,6.83162e+006,543571,5.999e+006,6.507e+006,6.5125e+006,7.1e+006,8.518e+006
372,6.98931e+006,571352,6.001e+006,6.5305e+006,7.018e+006,7.2525e+006,8.504e+006
374,6.999e+006,525141,6.033e+006,6.51175e+006,7.0165e+006,7.50725e+006,8.055e+006
376,7.09791e+006,499051,6.504e+006,6.51075e+006,7.026e+006,7.508e+006,8.167e+006
378,7.04719e+006,669736,5.507e+006,6.50875e+006,7.0035e+006,7.51025e+006,9.037e+006
380,7.23178e+006,546433,6.019e+006,6.90275e+006,7.5025e+006,7.51525e+006,8.021e+006
382,7.77369e+006,1.09773e+006,6.507e+006,7.0245e+006,7.5105e+006,8.0155e+006,1.1045e+007
384,7.43125e+006,459519,6.509e+006,7.199e+006,7.5105e+006,7.653e+006,8.02e+006
386,7.46375e+006,631409,6.504e+006,7.01375e+006,7.512e+006,8.00725e+006,8.551e+006
388,7.57019e+006,526273,6.512e+006,7.098e+006,7.5175e+006,8.004e+006,8.538e+006
390,7.78931e+006,577957,6.561e+006,7.51225e+006,7.8355e+006,8.048e+006,9.6e+006
392,7.59638e+006,542179,6.518e+006,7.3855e+006,7.522e+006,7.916e+006,9.031e+006
394,7.66706e+006,569719,6.995e+006,7.038e+006,7.5155e+006,8.01875e+006,9.034e+006
396,7.95722e+006,1.159e+006,6.505e+006,7.31375e+006,7.5235e+006,8.01825e+006,1.1536e+007
398,7.789e+006,586244,7.002e+006,7.499e+006,7.5195e+006,8.02775e+006,9.048e+006
400,7.80966e+006,566732,6.508e+006,7.523e+006,8.014e+006,8.04575e+006,9.076e+006
402,8.25681e+006,559841,7.043e+006,8.01e+006,8.099e+006,8.51775e+006,9.513e+006
404,8.12559e+006,577025,6.505e+006,7.875e+006,8.0295e+006,8.5055e+006,9.045e+006
406,8.461e+006,894558,6.51e+006,8.01325e+006,8.1895e+006,9.03925e+006,1.0156e+007
408,8.33603e+006,607485,6.506e+006,8.0175e+006,8.5065e+006,8.818e+006,9.22e+006
410,8.41794e+006,540970,7.506e+006,8.019e+006,8.504e+006,9.0025e+006,9.515e+006
412,8.57988e+006,634700,7.507e+006,8.0505e+006,8.522e+006,9.0185e+006,1.0027e+007
414,8.56262e+006,542010,7.522e+006,8.0455e+006,8.5295e+006,9.0355e+006,9.543e+006
416,8.71803e+006,700964,7.51e+006,8.08725e+006,8.7945e+006,9.0645e+006,1.0042e+007
418,8.57122e+006,641977,7.504e+006,8.01675e+006,8.512e+006,9.0155e+006,1.0019e+007
420,8.8975e+006,561122,7.974e+006,8.5105e+006,8.9845e+006,9.0605e+006,1.0062e+007
