n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
360,649034,29481.4,627215,630088,638656,651304,759081
362,650294,20383.8,634295,637271,641017,659514,724191
364,657247,44169.2,641478,642479,645327,654589,892693
366,685968,44992.3,621571,658719,681808,691942,841485
368,710298,39215,673290,692044,698176,710388,858725
370,693908,55432.7,634603,658129,678166,720265,876273
372,709849,66532.1,648457,673983,685144,724293,978483
374,738426,36162.9,696483,716315,729732,745176,880994
376,746847,84283.4,687452,695688,710952,747562,985154
378,733516,53032.7,694225,698048,712030,746844,904083
380,765617,131292,698637,703204,712646,752180,1.22795e+06
382,779484,141212,708592,712825,723883,743483,1.2535e+06
384,764600,52575.2,716391,732067,751590,776424,980946
386,761855,83361.1,690531,726422,733940,748024,1.08008e+06
388,754887,47288.2,696996,731964,743894,766393,950673
390,787696,70216.2,737941,748460,765444,785506,1.03441e+06
392,792702,65448.9,713004,754926,765188,829196,1.04529e+06
394,785849,54733.4,718649,754720,763442,823680,911164
396,793853,59356.9,726550,762314,772319,808621,995929
398,799568,71566.4,768112,770061,775142,787071,1.10245e+06
400,827109,22942,788328,813137,826606,837072,884894
402,828812,76708.4,747895,785968,804131,839381,1.1555e+06
404,823562,68523.3,756207,790996,803566,844923,1.09619e+06
406,841399,64388.4,771395,806595,818652,845794,1.05514e+06
408,864017,25356.8,826400,848746,858160,873221,971197
410,899892,121951,818396,856468,870322,901158,1.52196e+06
412,903843,54425.2,857904,871553,883457,914577,1.07372e+06
414,904513,54445.3,860675,881660,889152,896362,1.15037e+06
416,920057,78249.7,846822,884586,899672,928046,1.31538e+06
418,1.42475e+06,595458,809468,908880,1.50056e+06,1.6343e+06,3.61069e+06
420,1.18319e+06,296854,843332,935562,1.10794e+06,1.38658e+06,1.9348e+06
422,922112,77265.7,863548,875914,895360,926942,1.18198e+06
424,904103,95169.5,871348,874478,882328,893283,1.41688e+06
426,893764,26523.8,840665,880660,891564,904134,976431
428,915234,39222.9,848053,894694,902852,921248,1.0299e+06
430,921176,33276.5,896695,900568,908599,920195,1.03164e+06
432,937637,51218.4,904391,911446,918040,933254,1.14493e+06
434,969587,103590,912909,920887,931534,961268,1.44233e+06
436,949974,60840.4,880789,923736,932920,947363,1.18331e+06
438,955615,55674.9,887151,916090,940052,989489,1.08151e+06
440,990220,66875.8,897516,949441,971350,1.02707e+06,1.1595e+06
442,1.02482e+06,154991,946979,957522,963603,1.01386e+06,1.66583e+06
444,1.02491e+06,124669,940000,964989,986898,1.03523e+06,1.6135e+06
446,1.01011e+06,57604.4,964424,973404,986128,1.01948e+06,1.21123e+06
448,1.05578e+06,183326,973044,976867,988129,1.03646e+06,1.95173e+06
450,1.04439e+06,81992.7,961243,995031,1.00162e+06,1.09647e+06,1.23688e+06
