n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
286,2.43322e+06,1.14746e+06,1.7455e+06,1.7836e+06,1.97718e+06,2.62292e+06,7.66366e+06
288,3.18746e+06,1.39056e+06,1.86906e+06,2.12761e+06,2.5732e+06,3.62555e+06,7.30805e+06
290,2.19956e+06,505442,1.80472e+06,1.97708e+06,2.04333e+06,2.23214e+06,3.99819e+06
292,1.87127e+06,65047.9,1.77116e+06,1.84543e+06,1.85449e+06,1.8774e+06,2.13066e+06
294,2.02292e+06,98754.6,1.86239e+06,1.92374e+06,2.04636e+06,2.08053e+06,2.24807e+06
296,2.14109e+06,83328.7,2.04784e+06,2.09872e+06,2.1261e+06,2.15896e+06,2.4992e+06
298,2.16528e+06,156958,2.03625e+06,2.11489e+06,2.13918e+06,2.15817e+06,2.98412e+06
300,2.18089e+06,110098,2.09587e+06,2.12579e+06,2.1652e+06,2.19696e+06,2.72991e+06
302,2.08788e+06,173536,1.89872e+06,1.99617e+06,2.03024e+06,2.10139e+06,2.6357e+06
304,2.07603e+06,140862,1.9171e+06,2.00502e+06,2.0208e+06,2.06893e+06,2.43301e+06
306,2.14407e+06,187772,1.93352e+06,2.03073e+06,2.07786e+06,2.21156e+06,2.92501e+06
308,2.22477e+06,105142,2.05277e+06,2.14039e+06,2.24243e+06,2.29646e+06,2.47693e+06
310,3.51441e+06,868943,2.20681e+06,2.4661e+06,4.08465e+06,4.24545e+06,4.38479e+06
312,2.38616e+06,172077,2.2218e+06,2.31835e+06,2.34223e+06,2.38349e+06,3.20498e+06
314,2.43137e+06,253136,2.1477e+06,2.32381e+06,2.37661e+06,2.47452e+06,3.62976e+06
316,2.42985e+06,52068.7,2.33787e+06,2.39863e+06,2.43142e+06,2.45715e+06,2.56499e+06
318,2.35084e+06,118932,2.09125e+06,2.27845e+06,2.38575e+06,2.44045e+06,2.55452e+06
320,2.60366e+06,499474,2.20753e+06,2.39827e+06,2.46575e+06,2.52978e+06,3.96791e+06
322,2.30065e+06,81655.8,2.23524e+06,2.25405e+06,2.26552e+06,2.2988e+06,2.577e+06
324,2.37225e+06,135502,2.26459e+06,2.28417e+06,2.3235e+06,2.39875e+06,2.78246e+06
326,2.51673e+06,57110.9,2.35686e+06,2.48571e+06,2.51398e+06,2.55013e+06,2.61024e+06
328,2.59825e+06,98308.6,2.51737e+06,2.53969e+06,2.58161e+06,2.60316e+06,3.06027e+06
330,2.50982e+06,222665,2.31868e+06,2.39624e+06,2.42018e+06,2.57884e+06,3.57033e+06
332,2.45839e+06,102407,2.28779e+06,2.40373e+06,2.4211e+06,2.49776e+06,2.74151e+06
334,2.53245e+06,219763,2.29251e+06,2.42192e+06,2.44963e+06,2.51301e+06,3.1981e+06
336,2.68049e+06,137348,2.37707e+06,2.64003e+06,2.68937e+06,2.71824e+06,3.04549e+06
338,2.59813e+06,142335,2.4445e+06,2.48678e+06,2.54739e+06,2.70423e+06,3.08223e+06
340,2.81873e+06,354727,2.45015e+06,2.54654e+06,2.67649e+06,2.96937e+06,3.90921e+06
342,2.67208e+06,161154,2.50977e+06,2.546e+06,2.6044e+06,2.78045e+06,3.09947e+06
344,2.65788e+06,164436,2.51224e+06,2.56699e+06,2.58869e+06,2.69132e+06,3.32669e+06
346,2.68025e+06,125329,2.58089e+06,2.60586e+06,2.62133e+06,2.69045e+06,3.11271e+06
348,2.73107e+06,179128,2.51244e+06,2.62038e+06,2.65612e+06,2.82607e+06,3.42665e+06
350,2.91233e+06,148939,2.718e+06,2.85619e+06,2.89191e+06,2.93268e+06,3.64617e+06
352,2.9535e+06,51643.1,2.88734e+06,2.91018e+06,2.94353e+06,2.97942e+06,3.11364e+06
354,3.00107e+06,77859.4,2.92234e+06,2.95431e+06,2.99233e+06,3.02145e+06,3.34034e+06
356,3.07603e+06,426215,2.74992e+06,2.92385e+06,3.01891e+06,3.06594e+06,5.11427e+06
358,2.9097e+06,149594,2.67192e+06,2.79803e+06,2.87503e+06,3.00311e+06,3.23607e+06
360,2.97172e+06,193426,2.73792e+06,2.83e+06,2.89324e+06,3.08062e+06,3.49654e+06
362,4.00796e+06,1.56689e+06,2.81591e+06,2.91669e+06,3.23084e+06,5.06809e+06,1.02673e+07
364,3.50133e+06,1.29569e+06,2.77496e+06,2.88816e+06,2.95867e+06,3.26614e+06,8.14416e+06
366,3.14401e+06,160600,2.89093e+06,3.00647e+06,3.19425e+06,3.24944e+06,3.55689e+06
368,3.15074e+06,197308,2.79426e+06,2.97006e+06,3.24582e+06,3.30578e+06,3.54745e+06
370,3.09996e+06,199486,2.85296e+06,2.9783e+06,3.01922e+06,3.14427e+06,3.76635e+06
372,3.19062e+06,186056,2.93373e+06,3.04257e+06,3.18265e+06,3.29313e+06,3.88694e+06
374,3.37248e+06,124736,3.13919e+06,3.30668e+06,3.35712e+06,3.41498e+06,3.83819e+06
376,3.28986e+06,417044,3.03769e+06,3.09942e+06,3.1768e+06,3.32657e+06,5.40645e+06
378,3.2336e+06,143712,3.05196e+06,3.11997e+06,3.20965e+06,3.30358e+06,3.57403e+06
380,3.31245e+06,187098,3.05473e+06,3.14715e+06,3.29349e+06,3.43997e+06,3.83388e+06
382,3.29406e+06,155791,3.08901e+06,3.18419e+06,3.23653e+06,3.35068e+06,3.69451e+06
384,3.50569e+06,45093,3.42214e+06,3.46819e+06,3.51573e+06,3.53985e+06,3.57177e+06
386,3.3561e+06,165173,3.09475e+06,3.23338e+06,3.29934e+06,3.51917e+06,3.70324e+06
388,3.38024e+06,175980,3.12113e+06,3.22306e+06,3.39022e+06,3.48248e+06,3.90449e+06
390,3.54928e+06,355754,3.15028e+06,3.35748e+06,3.54072e+06,3.64938e+06,5.20612e+06
392,3.53933e+06,260479,3.26409e+06,3.35053e+06,3.46729e+06,3.61587e+06,4.53801e+06
394,3.56066e+06,154416,3.33213e+06,3.41772e+06,3.57059e+06,3.68392e+06,3.80463e+06
396,3.80413e+06,507243,3.37472e+06,3.59573e+06,3.72397e+06,3.76043e+06,5.89106e+06
398,3.65515e+06,222316,3.38745e+06,3.46883e+06,3.58398e+06,3.77731e+06,4.19041e+06
400,3.90577e+06,376607,3.72551e+06,3.8121e+06,3.84322e+06,3.87019e+06,5.94946e+06
402,3.59771e+06,137154,3.46298e+06,3.50198e+06,3.56099e+06,3.62421e+06,4.00004e+06
404,3.68307e+06,164575,3.42398e+06,3.57159e+06,3.64535e+06,3.77485e+06,4.09138e+06
406,3.75106e+06,153392,3.50239e+06,3.60448e+06,3.70955e+06,3.8992e+06,4.01882e+06
408,4.77958e+06,1.36908e+06,3.86149e+06,3.9986e+06,4.04991e+06,5.63793e+06,9.79432e+06
410,4.30258e+06,841281,3.94298e+06,3.9994e+06,4.03693e+06,4.10867e+06,7.30528e+06
412,4.04532e+06,153215,3.69133e+06,4.0132e+06,4.05925e+06,4.12096e+06,4.47972e+06
414,3.99449e+06,199656,3.59578e+06,3.82898e+06,4.07383e+06,4.14656e+06,4.30515e+06
416,4.26537e+06,340945,3.92532e+06,4.15306e+06,4.17887e+06,4.22425e+06,5.93119e+06
418,4.19214e+06,66237.4,4.10369e+06,4.14169e+06,4.19801e+06,4.22184e+06,4.46248e+06
420,3.86108e+06,136739,3.65674e+06,3.77282e+06,3.83634e+06,3.8904e+06,4.18651e+06
422,4.23777e+06,205432,3.90582e+06,4.16075e+06,4.23023e+06,4.30643e+06,5.08892e+06
424,4.07821e+06,199446,3.9009e+06,3.9341e+06,3.9849e+06,4.18777e+06,4.70448e+06
426,4.21239e+06,230690,3.74852e+06,4.05371e+06,4.25473e+06,4.35741e+06,4.83207e+06
428,4.14174e+06,162172,3.92565e+06,3.99603e+06,4.1713e+06,4.26494e+06,4.50571e+06
430,4.14685e+06,126514,3.94649e+06,4.0532e+06,4.1265e+06,4.21148e+06,4.53517e+06
432,4.18598e+06,150610,3.97132e+06,4.06972e+06,4.15482e+06,4.3022e+06,4.48632e+06
434,4.18182e+06,148733,3.94002e+06,4.08581e+06,4.14826e+06,4.28131e+06,4.45399e+06
